timesteps,goals,ball_touches,avg_ball_speed,avg_car_speed,avg_boost,steps
6952150,14,61,72.2,833.6,16.5,50022
7002155,10,60,64.0,840.5,17.1,50005
7052158,8,65,76.8,829.0,16.1,50003
7102162,9,55,68.6,829.3,16.9,50004
7152183,4,69,74.7,844.4,16.7,50021
7202188,10,80,89.5,850.4,18.2,50005
7252214,8,68,77.4,844.7,17.8,50026
7302234,4,64,68.5,875.6,17.8,50020
7352240,11,82,92.4,866.1,17.2,50006
7402263,9,75,78.8,825.7,17.5,50023
7452267,10,56,71.2,858.1,17.1,50004
7502287,11,60,74.2,833.3,17.4,50020
7552291,11,66,77.9,855.0,17.9,50004
7602298,8,66,79.0,850.7,16.9,50007
7652299,10,59,73.8,849.4,18.1,50001
7702314,10,59,68.5,865.2,17.6,50015
7752342,5,56,56.5,839.1,16.3,50028
7802364,10,58,72.7,840.7,16.0,50022
7852392,6,71,79.2,876.8,17.6,50028
7902398,10,78,77.6,854.1,15.5,50006
7952426,13,72,89.6,839.4,17.2,50028
8002453,10,61,72.5,841.6,16.9,50027
8052476,12,73,86.1,848.7,16.4,50023
8102494,13,59,73.0,847.4,18.1,50018
8152521,9,67,79.3,862.2,17.5,50027
8202523,14,58,67.8,837.3,16.7,50002
8252533,12,77,94.6,853.5,16.7,50010
8302539,14,66,81.9,842.2,17.1,50006
8352541,10,84,89.7,836.5,16.9,50002
8402557,11,62,63.3,867.5,18.3,50016
8452586,11,81,84.9,858.2,17.3,50029
8502589,10,91,110.0,888.9,17.1,50003
8552604,13,99,111.0,885.1,18.9,50015
8602614,8,63,81.7,844.2,17.8,50010
8652628,8,75,87.3,853.8,16.3,50014
8702652,9,79,89.7,827.8,16.4,50024
8752674,8,81,96.3,836.3,16.8,50022
8802699,9,65,79.2,841.5,17.0,50025
8852728,10,78,83.0,846.5,16.4,50029
8902754,7,69,76.6,815.9,17.2,50026
8952765,11,100,118.1,809.7,17.3,50011
9002766,12,69,76.4,824.6,17.1,50001
9052781,8,72,90.4,836.3,18.4,50015
9102799,10,70,84.4,829.0,17.5,50018
9152807,13,62,78.3,835.3,17.5,50008
9202810,11,79,86.9,825.4,16.6,50003
9252829,9,75,87.3,831.0,16.7,50019
9302834,7,79,95.7,820.3,17.8,50005
9352858,7,81,98.3,827.9,18.0,50024
9402880,10,71,76.8,842.4,17.3,50022
9452896,12,57,71.5,852.2,17.9,50016
9502901,12,72,78.1,850.5,17.8,50005
9552922,6,77,88.5,838.0,17.3,50021
9602944,17,73,93.9,832.5,17.5,50022
9652961,9,66,76.4,849.7,17.5,50017
9702974,14,71,89.1,810.2,17.1,50013
9752992,16,80,101.3,822.2,17.6,50018
9803005,15,82,97.3,812.5,16.3,50013
9853021,12,75,82.5,828.3,16.6,50016
9903038,8,81,103.6,835.2,17.0,50017
9953063,7,70,83.6,835.7,16.0,50025
10003083,13,83,98.6,844.7,16.9,50020
10053091,13,81,90.8,833.0,16.8,50008
10103116,12,72,78.4,847.1,16.9,50025
10153137,10,87,88.0,838.1,16.5,50021
10203138,11,67,73.7,835.9,17.2,50001
10253144,11,70,82.5,829.2,17.1,50006
10303144,10,92,99.3,834.6,16.7,50000
10353151,13,73,91.9,862.5,18.9,50007
10403151,11,82,104.5,820.7,16.3,50000
10453151,10,67,82.5,838.2,17.4,50000
10503171,18,66,70.5,804.0,16.4,50020
10553182,14,67,78.0,823.0,17.6,50011
10603205,10,71,84.5,831.9,17.7,50023
10653234,8,69,84.7,803.8,16.5,50029
10703235,10,70,80.5,809.2,16.3,50001
10753244,21,96,99.1,810.2,18.2,50009
10803257,8,74,73.6,805.0,17.2,50013
10853286,7,78,86.8,816.5,16.1,50029
10903295,11,82,97.7,817.9,16.7,50009
10953323,13,90,103.9,786.2,15.2,50028
11003324,9,74,80.4,812.6,17.8,50001
11053332,10,70,73.9,798.4,16.6,50008
11103340,8,66,77.2,819.4,16.7,50008
11153347,13,75,74.3,810.7,16.2,50007
11203367,13,79,91.6,831.3,17.9,50020
11253371,7,83,93.6,807.9,16.9,50004
11303401,10,66,94.5,826.1,17.2,50030
11353402,12,79,90.2,811.3,17.6,50001
11403405,12,88,91.7,820.1,17.0,50003
11453405,10,79,93.5,811.3,16.4,50000
11503426,17,82,90.9,815.2,17.2,50021
11553430,20,100,118.7,825.0,16.5,50004
11603445,14,85,92.9,819.5,17.4,50015
11653449,17,95,108.1,823.3,16.7,50004
11703461,9,77,97.1,820.7,16.2,50012
11753475,5,75,91.3,833.4,16.9,50014
11803479,17,82,108.7,822.6,17.1,50004
11853481,10,85,100.6,823.4,17.9,50002
11903502,8,87,97.2,834.1,17.9,50021
11953529,11,62,88.7,819.5,17.1,50027
12003529,9,88,99.4,803.1,16.8,50000
12053549,15,97,91.1,832.0,17.9,50020
12103553,13,89,96.6,808.2,16.2,50004
12153576,16,81,91.1,813.8,16.9,50023
12203585,10,67,78.6,806.6,17.2,50009
12253585,8,74,87.0,817.8,16.6,50000
12303601,10,77,90.1,826.6,17.3,50016
12353621,14,81,90.5,825.7,16.2,50020
12403623,14,93,100.6,799.3,16.2,50002
12453625,4,65,83.3,813.6,17.1,50002
12503636,14,85,93.8,800.3,16.7,50011
12553662,12,73,88.8,793.6,15.8,50026
12603674,9,81,83.1,796.1,16.2,50012
12653700,12,83,99.4,808.3,16.9,50026
12703709,8,75,88.6,809.9,16.5,50009
12753734,14,101,106.4,828.8,16.4,50025
12803738,15,79,101.9,824.0,16.9,50004
12853758,12,94,93.3,794.8,15.7,50020
12903773,6,85,91.7,808.0,17.2,50015
12953790,8,68,87.8,827.4,16.3,50017
13003802,7,86,94.7,812.8,16.2,50012
13053807,7,78,91.6,805.6,15.4,50005
13103815,6,62,75.2,802.2,16.3,50008
13153818,9,67,86.1,817.8,17.2,50003
13203831,13,89,102.4,785.6,15.8,50013
13253856,14,98,105.1,818.2,16.9,50025
13303859,13,79,84.2,821.9,17.8,50003
13353863,13,70,85.5,821.8,16.1,50004
13403877,8,71,85.9,794.6,15.8,50014
13453901,13,82,89.7,848.0,18.5,50024
13503924,6,60,71.6,827.8,17.8,50023
13553948,9,78,91.1,824.4,16.3,50024
13603964,8,66,80.1,819.1,16.0,50016
13653964,14,72,79.4,814.3,16.0,50000
13703989,14,89,99.2,819.5,16.4,50025
13753998,14,103,111.3,811.2,16.1,50009
13804014,14,96,109.2,813.4,17.2,50016
13854031,14,89,103.7,809.7,15.8,50017
13904040,8,61,78.7,818.1,16.1,50009
13954053,10,91,92.3,819.2,16.8,50013
14004065,10,83,91.9,818.4,17.3,50012
14054072,20,86,96.5,823.3,17.0,50007
14104101,6,73,91.9,802.8,15.3,50029
14154129,9,98,109.3,809.6,16.1,50028
14204146,12,92,98.7,815.5,16.3,50017
14254164,18,98,114.3,825.5,17.6,50018
14304195,8,74,96.8,825.6,17.0,50031
14354198,17,75,95.5,813.1,17.0,50003
14404209,10,61,77.7,820.4,16.5,50011
14454239,12,76,77.7,833.4,18.0,50030
14504270,16,74,86.2,846.2,17.5,50031
14554275,14,82,95.5,804.0,16.4,50005
14604300,11,74,81.9,817.7,17.4,50025
14654324,9,77,91.2,827.3,17.7,50024
14704331,10,73,86.6,857.2,17.2,50007
14754360,10,84,107.2,797.7,17.0,50029
14804378,19,120,128.1,824.9,17.1,50018
14854385,9,71,84.9,821.1,17.0,50007
14904390,9,77,90.6,827.9,16.5,50005
14954420,14,78,92.5,832.0,17.1,50030
15004421,15,78,97.7,821.1,16.0,50001
15054448,20,108,106.7,798.1,16.3,50027
15104451,12,71,80.1,806.4,16.9,50003
15154457,15,95,94.8,807.3,16.8,50006
15204471,10,76,97.5,823.1,18.1,50014
15254499,13,83,108.9,833.5,17.6,50028
15304525,10,81,96.7,831.5,16.6,50026
15354544,12,87,101.9,821.8,16.3,50019
15404568,9,86,94.2,815.3,15.1,50024
15454590,14,81,106.1,823.4,16.8,50022
15504615,11,80,103.6,822.2,16.9,50025
15554642,12,92,110.5,818.7,16.6,50027
15604666,10,93,97.7,818.0,15.5,50024
15654683,12,78,93.1,818.6,17.6,50017
15704695,6,52,68.6,814.1,16.3,50012
15754720,9,90,96.3,817.3,15.7,50025
15804734,21,74,91.4,812.5,16.3,50014
15854745,10,77,102.9,837.8,17.3,50011
15904765,9,81,88.6,822.8,17.2,50020
15954786,18,79,95.0,809.9,16.7,50021
16004795,15,85,97.5,801.1,16.5,50009
16054804,12,108,120.8,811.5,15.6,50009
16104822,20,103,114.8,833.3,17.2,50018
16154849,11,94,112.5,820.7,16.7,50027
16204850,10,90,113.9,813.3,16.1,50001
16254857,13,76,88.9,816.9,16.5,50007
16304876,14,75,95.1,828.9,18.0,50019
16354899,13,78,97.1,811.8,15.7,50023
16404906,8,83,99.0,791.8,16.8,50007
16454933,13,103,125.5,832.1,16.4,50027
16504949,14,82,100.2,825.7,17.3,50016
16554977,14,81,97.5,819.9,17.1,50028
16604995,15,86,105.7,813.8,16.6,50018
16655001,12,87,114.3,829.2,17.1,50006
16705011,19,91,110.0,829.8,17.1,50010
16755015,18,93,111.8,824.6,16.8,50004
16805019,10,96,110.5,817.2,17.4,50004
16855045,19,104,112.2,798.4,16.3,50026
16905046,13,92,106.6,831.0,16.8,50001
16955065,12,95,121.7,844.1,16.9,50019
17005074,11,103,108.8,828.4,16.6,50009
17055076,11,99,119.8,798.8,15.5,50002
17105090,14,95,126.8,804.4,16.8,50014
17155092,14,100,124.6,819.5,17.0,50002
17205112,8,91,109.7,824.3,16.2,50020
17255126,11,99,113.1,820.5,16.1,50014
17305133,19,84,99.7,829.4,16.4,50007
17355141,16,91,109.5,827.9,16.8,50008
17405163,13,84,109.5,794.4,16.4,50022
17455172,14,99,123.3,814.3,16.4,50009
17505179,12,89,96.6,824.7,16.4,50007
17555194,19,105,126.5,810.1,16.2,50015
17605211,19,96,121.7,816.8,16.4,50017
17655238,12,93,123.1,829.0,16.9,50027
17705250,17,111,131.1,848.0,16.6,50012
17755260,16,96,117.3,808.3,16.4,50010
17805270,19,102,124.8,822.2,15.6,50010
17855286,17,101,117.3,812.8,17.0,50016
17905289,21,99,137.0,845.1,17.5,50003
17955314,14,106,127.7,841.2,17.1,50025
18005317,25,121,144.3,833.2,17.3,50003
18055318,16,120,134.7,851.9,17.0,50001
18105318,18,109,117.1,826.0,16.4,50000
18155348,15,69,84.1,828.7,17.9,50030
18205361,13,102,126.2,801.5,16.0,50013
18255373,15,90,117.6,821.8,17.1,50012
18305382,25,120,147.6,838.7,18.1,50009
18355392,18,85,114.0,819.6,16.9,50010
18405409,18,107,140.8,816.4,15.7,50017
18455417,17,114,138.7,805.5,17.2,50008
18505436,11,90,119.6,829.2,16.4,50019
18555443,16,96,114.0,828.1,17.4,50007
18605446,18,117,144.5,834.7,17.8,50003
18655452,16,109,140.6,823.6,16.1,50006
18705456,27,143,168.5,820.9,16.1,50004
18755457,10,104,138.0,840.5,18.2,50001
18805480,21,111,145.6,831.8,17.0,50023
18855494,15,102,119.1,801.1,16.4,50014
18905522,20,90,119.0,796.3,15.4,50028
18955536,20,109,128.3,815.1,16.9,50014
19005548,19,103,127.1,807.2,15.7,50012
19055574,29,108,139.7,828.6,16.9,50026
19105604,23,102,127.9,800.5,16.7,50030
19155612,14,105,132.3,827.9,16.4,50008
19205640,19,98,121.5,814.3,16.5,50028
19255646,21,99,133.7,841.4,16.4,50006
19305666,13,77,107.9,801.3,15.6,50020
19355667,17,101,132.2,829.3,16.9,50001
19405669,15,102,128.6,825.9,16.8,50002
19455680,26,122,153.0,837.6,16.4,50011
19505688,16,129,166.6,834.2,15.6,50008
19555709,20,122,148.1,810.5,15.0,50021
19605723,15,97,116.9,832.4,16.2,50014
19655725,20,113,134.5,834.8,16.8,50002
19705729,20,107,135.3,816.0,15.9,50004
19755732,24,121,146.7,843.1,16.1,50003
19805743,13,99,138.3,844.2,15.6,50011
19855743,22,121,154.8,839.6,16.3,50000
19905767,25,130,152.1,854.9,16.7,50024
19955785,10,104,138.0,842.5,16.2,50018
20005804,27,127,163.0,839.3,16.4,50019
20055820,17,115,159.1,826.1,15.9,50016
20105826,12,111,151.7,838.0,15.8,50006
20155848,26,101,136.5,833.5,16.3,50022
20205848,35,130,169.1,854.2,16.5,50000
20255848,14,115,146.7,814.7,15.3,50000
20305855,22,111,146.5,841.9,16.7,50007
20355869,18,120,166.6,847.1,16.2,50014
20405878,19,107,136.0,843.4,16.4,50009
20455908,27,106,125.2,817.8,16.7,50030
20505913,16,111,150.6,848.1,16.0,50005
20555937,17,113,143.7,825.2,15.1,50024
20605959,19,137,182.1,826.8,16.2,50022
20655985,20,112,150.6,844.7,15.4,50026
20706002,23,118,147.0,835.0,15.8,50017
20756002,22,118,154.5,838.1,16.6,50000
20806022,25,116,159.2,849.1,16.5,50020
20856052,31,121,162.7,840.3,16.5,50030
20906077,17,111,147.7,845.1,15.9,50025
20956095,19,109,139.7,812.1,15.9,50018
21006103,27,118,159.0,828.5,15.0,50008
21056123,25,146,204.4,832.9,16.6,50020
21106137,27,127,173.3,856.2,16.1,50014
21156150,23,115,159.0,857.4,15.3,50013
21206177,31,138,192.3,835.3,14.8,50027
21256191,26,135,190.9,866.5,15.0,50014
21306221,25,119,176.0,850.1,16.0,50030
21356244,22,115,175.0,851.2,15.7,50023
